;commit_hash_origem;commit_hash_anterior;commit_hash_destino;project_id;merge_commit_id;floss
218;d7e7a318705307412c8662fb780159731852f2ea;0f4da4ddf025c54287deb1762f84429ac919f7f1;5f1ce95e187d5cef145b956490867d3b5b58c69b;9;314;no
219;375947e1c0812b9ed11076cd1e22cae6f8cc1a09;375947e1c0812b9ed11076cd1e22cae6f8cc1a09;c3ad126bf996ff395dee4b3178658bd0e1e5505d;9;314;yes
221;8d734c430d770cdbd40bb449db528e0b4644d993;5a368e8ffad65671ae76d7881932d90437f3e7c8;0f4da4ddf025c54287deb1762f84429ac919f7f1;9;575;yes
20;88c483a0189cbe7132330cb1b563f07326f3bcf9;e5a8f94f935248dea9e515199151472eebe5ca4c;1251cb05edd5283545bc27652f5c0aaa3d1095a1;11;15155;yes
88;5419955e10c8e841f335d38b2c9869d319227edf;d0a0be5119385b2ce9df1db7f90021198032d673;5eac6e2deeb6ce09d798a8e3c9d226815c942bfe;14;321;no
26;ab5a8c77e4509fee9c4942ae391bbd82d7f7b295;9336f47c5e2141b08fd329e73ba5ea346e192fac;ebc7278d7845edb149f3a0169408deefeb86f6a5;28;167168;yes
28;a7e8d6e2a87c73efe8fa3ad9df798499eb517cc1;1a5d09c3566bffb24327b7af6379097d13de9521;ab5a8c77e4509fee9c4942ae391bbd82d7f7b295;28;167211;yes
29;ca1c8bf247fa3fd65fefb31adfe5b1f6c29ec1a0;ca1c8bf247fa3fd65fefb31adfe5b1f6c29ec1a0;0dbe8baa84767e3728bc3b9f14d69ad776ab816e;28;167211;yes
31;8110c63b16563e930504afaad800fb7b84b69410;6ab2b2337959a54468f1598b0e2d1db923c311ef;5d02c51253a4f96ae3b116b62594e3685165e336;28;167082;yes
38;4a7c2c76e22c1c6677fcef52b851a0a290911be8;2c000d92f2985a90e3cdb262e30cb86d99da4517;cc69205024c38532a0208ebfa67ac4114d202a93;28;166563;no
39;f14980d6090c67e8a6c2d20ccd4a202b541c6cdd;a1d5e939ade32288c8a6b6bd87077449df663c30;476cecf9a717bb39eee80db1bb12856791f7a550;28;166563;no
40;8a7ab59d10c1d82e649398202b955b30dc5ff1c3;f8be55b0bd3e8ffd86dfc1302945d2279de83ab8;effb653450a11abd5e0fdc221f9b2c7a046e829a;28;166563;yes
41;3b944ed78a186d3fc16ae3d0d8330b133b14aa60;3a2bdffe76d7071a70279c5ed92bf907f8c0f503;bafa3059cc404045c570050081f7263f3fcc35a9;28;166563;yes
42;93ef5fa8492bfdb44f6a91edb34818fbfb35c9e5;94c45349e25f07c28033ade55fe15254470fffd0;a1c1abfba6989872ac354ff9528c0f088cff4887;28;166563;no
43;d12de23b4c8e4fadfd9512cf5cf908571722d10c;d12de23b4c8e4fadfd9512cf5cf908571722d10c;0f4dd380e7e2da67165bf61e96a8942ed9ab0538;28;166563;yes
44;2e0a805f15bcbb6fbaa6c08a01efc4dc99a28648;f5c9838c1b40d52dfda6a73bc18999f2c296ac9d;5d7e2fba24f99939e44dd082864c1dad55b3726f;28;166563;yes
45;d44758d10249ef100a1e9990c34ef27b9e0235b1;d44758d10249ef100a1e9990c34ef27b9e0235b1;445696052d0a488b4ab7c71a2958a058242169eb;28;166563;yes
54;609bc4e123f08b8f65dbb45da3243719b7ccfdde;e301063fce58e4a0439cc84acb9e5343730eb18a;b79ea7de10474fc66bcbacab07ad6c821b838972;28;166819;no
81;3a2faf9424769cfee5fdad25f4513611820ca980;18962d7b28e1d471c59e0e95c99b2a09b6a9402c;b38ca2879cf1cbf5de17e1912772b6588eaa7de6;28;165089;yes
93;40d2ad14b9282ac8056e2a0e05ab8b51c78442ed;34f08529ee17b6f5e5f6c740a7dc66a2e856254a;c25a6a14c8d0592c9e842d42d1362042e7109599;28;161650;yes
94;b153d45644b1af0e645fcb3cdc1c835949289e41;f5ec4c7c3620d453db39d44217cfeca4f775b47b;8b0e1868e8cf813ddfc98d11448aa2ad363eccc1;28;160521;yes
95;c2812f38a4eea8124786e3753c4e45a7e07a9fd1;8a069587d5f67d64d99e9d391e5f6a733616ab97;4155afd510828770c2d666a7e4cea28062964130;28;159256;no
99;6193fefbf7d92c0b909dccf5a2519b9266983091;6193fefbf7d92c0b909dccf5a2519b9266983091;b4b30cf87cbf3f7957c64f625f0f90d24b43b49c;28;161991;yes
101;e2506f1d0f14d8719e5f4fde8020b0c5a31383fd;e39462557c65d82e22644dbebfceef98ce522483;b70639187e1ee5e3aebb489baa07aaa2771fb4ed;28;156829;no
110;6ad62c3f4a44ccbf1b462075610487e771e56f73;278f21062d760aae708b6727058607b555f16291;e93578b3bd9776b99d4068201b1f872f8f8689e2;28;158658;yes
116;cd6aa2d1ef16a8af2e5e3de20e2389575d8021e1;ba3c1bcb9350a09f23e224ab0201048b00768a03;36cdf34bd92ede5ad99447e10d90e6caa1fd743a;28;145276;no
121;d63d07b9270d73a289086c69002b5a0023b2d233;d63d07b9270d73a289086c69002b5a0023b2d233;c2294aa21eb6310b6d5c05d6d9ff505f59b376c2;28;148749;yes
123;d63d07b9270d73a289086c69002b5a0023b2d233;c36656c06bc10bccace324d40adc7d038de2f74f;0b42b0e76267aa4101b1634bd5d96c9b85997b56;28;154199;no
133;74bf5aa16e7080360febca1745307a4d7ced32dc;57b18e600c6d79d19d29f3569b81cb946ef9ee57;5ebadc11e36749e6479f9aba19406db3aacdaf41;28;137150;yes
135;8541cca718fc324c2545831fc945247a4aeb3437;9872b74ef20018e4e7645a8952fd7295e75764ad;4485e6dbfed89c9137a58412210e56ae88cfe217;28;154779;yes
